#{"t_start": 1698025728.808209, "env_id": null}
r,l,t
-189.098167,24,618.26941
-92.64482,26,618.534527
-15.497402,12,618.836965
-204.876947,19,618.967144
-182.764258,21,619.172132
-157.636512,33,619.409677
-613.23231,63,619.805469
-594.816162,33,620.446768
-199.131928,18,620.788452
-1083.020814,86,621.040462
-34.174647,13,621.94241
-518.728691,61,622.124322
-382.59633,27,622.733093
-410.298892,51,623.043792
-2624.545553,130,623.698381
-395.222714,52,624.99171
-111.45013,21,625.532155
-60.323794,13,625.753191
-81.32256,17,625.926554
-1685.821227,108,626.187881
-114.76997,19,627.260891
-80.314022,26,627.473107
-841.355179,78,627.813906
-241.916651,43,628.599483
-117.455113,19,629.035545
-1061.411569,87,629.323704
-127.164121,19,630.191108
-311.351247,23,630.391209
-32.526628,16,630.633837
-55.462527,13,630.798349
-71.660391,12,630.963864
-594.995392,60,631.149006
-584.62193,31,631.794036
-55.748235,14,632.096708
-296.891429,23,632.275316
-331.277239,25,632.553459
-165.46278,22,632.827904
-172.461075,17,633.061088
-16.447166,8,633.276227
-219.564483,38,633.305303
-222.167671,20,633.319774
-288.593961,24,633.337813
-162.967557,27,633.358812
-142.374857,16,633.382814
-59.66416,14,633.783815
-16.406458,8,633.924385
-596.49969,33,634.036014
-835.561476,78,634.458664
-10.424104,5,635.330649
-83.621465,12,635.399681
-2283.23288,129,635.648774
0.060217,2,636.993662
-255.686509,22,637.03221
-335.81392,25,637.270579
-587.941141,64,637.593689
-1112.023676,87,638.34768
-1975.261243,117,639.325387
-35.208684,16,640.511151
-54.097647,14,640.687276
-160.661978,23,640.895666
-1.067658,3,641.108259
-1430.068317,102,641.245436
-1470.643447,103,642.337621
-325.10252,49,643.453721
-107.957274,18,643.968092
-65.53122,12,644.151109
-23.929636,7,644.269618
-1086.558144,90,644.448791
